product_name,quantity,unit_price,manufacturer,expiration_date,category,weight,color,material,production_date,total_value,production_year
Mushroom - Morel Frozen,550,42.23,Pixope,2022-12-08,clothing,4.5,Purple,wood,2022-12-24,23226.5,2022
"Soup - Campbells, Cream Of",197,60.48,Einti,2022-12-08,clothing,5.2,Indigo,wood,2022-08-31,11914.56,2022
Cranberries - Frozen,607,66.56,Abatz,2022-12-08,food,4.5,Red,wood,2022-12-01,40401.92,2022
Pork - Caul Fat,372,59.24,Meezzy,2023-06-16,food,5.6,Maroon,metal,2023-07-16,22037.280000000002,2023
"Pasta - Fett Alfredo, Single Serve",766,22.79,Quamba,2022-12-08,food,2.1,Puce,wood,2022-11-29,17457.14,2022
Cheese - Brie Roitelet,44,54.17,Twiyo,2022-12-08,food,8.5,Purple,metal,2022-09-25,2383.48,2022
"Wine - Red, Harrow Estates, Cab",143,2.65,Blogpad,2022-12-08,electronics,4.969776119402986,Blue,wood,2023-08-10,378.95,2023
Peach - Fresh,580,98.92,Wordware,2022-12-08,electronics,4.969776119402986,Blue,metal,2022-04-18,57373.6,2022
Momiji Oroshi Chili Sauce,827,9.72,Geba,2022-12-08,electronics,10.0,Fuscia,metal,2022-07-14,8038.4400000000005,2022
Table Cloth 120 Round White,841,49.16,Jamia,2023-01-24,clothing,8.3,Goldenrod,wood,2022-04-11,41343.56,2022
Cheese - St. Andre,756,13.64,Vitz,2022-12-08,food,2.8,Khaki,wood,2023-05-17,10311.84,2023
Wine - Duboeuf Beaujolais,645,25.63,Skyba,2022-12-08,clothing,5.8,Turquoise,plastic,2022-01-14,16531.35,2022
Yokaline,991,6.74,Skyba,2022-12-08,clothing,1.6,Pink,metal,2022-06-23,6679.34,2022
Wine - Delicato Merlot,413,13.55,Wikido,2022-03-03,electronics,9.4,Violet,plastic,2023-12-22,5596.150000000001,2023
Sauce - Soy Low Sodium - 3.87l,427,41.5,Tagcat,2022-12-08,food,9.1,Purple,wood,2022-06-03,17720.5,2022
Sour Puss Raspberry,403,1.9,Npath,2022-12-08,clothing,5.6,Purple,plastic,2023-04-11,765.6999999999999,2023
"Pasta - Linguini, Dry",392,85.87,Mymm,2022-12-08,electronics,4.969776119402986,Fuscia,wood,2022-11-05,33661.04,2022
Olives - Stuffed,33,43.9,Ozu,2022-10-10,clothing,0.5,Mauv,metal,2022-09-29,1448.7,2022
Puree - Raspberry,731,65.5,Babbleset,2022-12-08,food,7.8,Aquamarine,wood,2022-07-22,47880.5,2022
Ecolab Crystal Fusion,334,56.61,Roomm,2022-10-30,clothing,2.5,Purple,wood,2022-11-05,18907.74,2022
Grapefruit - White,691,38.89,Kare,2022-12-08,clothing,4.99875,Mauv,metal,2023-06-17,26872.99,2023
Cleaner - Comet,258,75.7,Buzzbean,2022-12-08,food,5.4,Crimson,metal,2023-11-07,19530.600000000002,2023
Lamb - Shanks,423,61.52,Layo,2022-12-08,food,7.9,Purple,plastic,2023-11-24,26022.960000000003,2023
"Juice - Apple, 1.36l",573,83.63,Layo,2022-12-08,clothing,4.99875,Puce,plastic,2023-02-20,47919.99,2023
Mints - Striped Red,229,32.56,Ainyx,2022-12-08,clothing,4.99875,Indigo,metal,2023-04-05,7456.240000000001,2023
"Lamb - Whole, Frozen",858,64.78,Topicware,2022-12-08,clothing,7.2,Orange,wood,2022-04-27,55581.24,2022
"Potatoes - Instant, Mashed",323,70.62,Trilia,2022-12-08,clothing,7.2,Khaki,metal,2023-01-24,22810.260000000002,2023
Haggis,67,91.26,Kamba,2022-12-08,electronics,4.8,Mauv,metal,2023-07-18,6114.42,2023
Vanilla Beans,469,12.32,Brainverse,2022-11-18,food,5.088278388278388,Puce,plastic,2022-09-26,5778.08,2022
Creme De Menth - White,981,69.71,Voonder,2022-12-08,clothing,1.4,Teal,wood,2022-02-28,68385.51,2022
Bread - Hot Dog Buns,443,55.41,Roombo,2022-12-08,electronics,6.1,Red,plastic,2022-04-28,24546.629999999997,2022
Tofu - Soft,938,65.34,Oyoloo,2022-12-08,food,3.9,Teal,plastic,2022-07-28,61288.920000000006,2022
Soup Campbells - Italian Wedding,944,31.61,Kazu,2022-12-08,food,5.5,Aquamarine,plastic,2022-12-21,29839.84,2022
Beer - Original Organic Lager,89,59.02,Omba,2022-12-08,food,5.0,Purple,wood,2023-06-27,5252.780000000001,2023
"Soup - Clam Chowder, Dry Mix",343,79.44,Jaloo,2023-09-14,electronics,6.9,Goldenrod,metal,2022-07-31,27247.92,2022
Nantucket Orange Juice,25,6.85,Photolist,2022-12-08,electronics,4.969776119402986,Goldenrod,plastic,2022-11-28,171.25,2022
Peas Snow,604,6.77,Fiveclub,2022-12-08,electronics,5.6,Crimson,wood,2023-10-15,4089.08,2023
Burger Veggie,386,52.75,Twiyo,2022-12-08,electronics,6.4,Crimson,plastic,2022-03-22,20361.5,2022
Schnappes Peppermint - Walker,385,45.1,Devpulse,2022-12-08,food,2.4,Khaki,wood,2023-02-20,17363.5,2023
Dawn Professionl Pot And Pan,107,38.86,Camimbo,2022-12-08,food,6.6,Purple,metal,2022-11-14,4158.0199999999995,2022
Cheese Cloth No 60,150,62.78,Devcast,2022-12-08,food,8.7,Violet,metal,2023-07-04,9417.0,2023
Bread - Pumpernickel,997,94.08,Jabbercube,2022-12-08,electronics,4.969776119402986,Maroon,plastic,2023-02-27,93797.76,2023
Hummus - Spread,306,35.79,Vidoo,2022-12-08,clothing,7.2,Maroon,plastic,2022-03-19,10951.74,2022
"Wine - Red, Pinot Noir, Chateau",737,29.18,Tazzy,2022-12-08,electronics,1.9,Orange,wood,2023-03-05,21505.66,2023
Chicken Breast Halal,467,86.78,Chatterbridge,2022-12-08,electronics,7.0,Purple,wood,2022-07-28,40526.26,2022
"Pork - Tenderloin, Fresh",725,65.93,Vinte,2022-12-08,electronics,7.4,Maroon,plastic,2022-05-02,47799.25000000001,2022
"Wine - White, Cooking",862,77.41,Zoozzy,2022-12-08,electronics,4.969776119402986,Fuscia,wood,2022-09-27,66727.42,2022
Lettuce - Treviso,717,52.73,Trunyx,2022-12-08,food,3.0,Yellow,metal,2023-02-03,37807.409999999996,2023
Browning Caramel Glace,44,34.11,Realbridge,2022-11-25,electronics,1.6,Violet,plastic,2022-10-28,1500.84,2022
Lychee,650,3.31,Dynazzy,2022-12-08,food,0.8,Purple,metal,2023-12-26,2151.5,2023
Gatorade - Xfactor Berry,824,22.37,Youspan,2022-12-08,food,4.7,Fuscia,plastic,2022-05-08,18432.88,2022
Chervil - Fresh,837,27.96,Dabvine,2023-07-11,clothing,4.99875,Red,wood,2023-09-04,23402.52,2023
Pasta - Orecchiette,729,93.09,Quinu,2022-12-08,electronics,1.5,Fuscia,metal,2022-12-12,67862.61,2022
Bread - White Epi Baguette,261,15.26,Meemm,2022-12-08,clothing,5.0,Maroon,metal,2022-12-13,3982.86,2022
Cream - 18%,61,45.17,Realblab,2022-12-08,food,2.0,Pink,wood,2022-12-09,2755.37,2022
Gelatine Powder,518,60.3,Janyx,2022-12-08,food,7.5,Red,wood,2022-07-16,31235.399999999998,2022
Salt And Pepper Mix - Black,554,3.49,Tanoodle,2022-12-08,food,4.9,Teal,plastic,2022-07-22,1933.46,2022
Squash - Guords,507,40.41,Centimia,2022-12-08,food,6.3,Violet,plastic,2023-09-24,20487.87,2023
Cheese - Brie,903,13.85,Kare,2022-12-08,electronics,4.969776119402986,Blue,metal,2022-06-04,12506.55,2022
Wine - Balbach Riverside,682,26.44,Livetube,2022-12-08,clothing,5.4,Pink,plastic,2023-10-07,18032.08,2023
Myers Planters Punch,396,38.68,Pixonyx,2022-12-08,clothing,6.7,Crimson,metal,2023-10-09,15317.28,2023
"Pepsi, 355 Ml",191,70.69,Browseblab,2023-07-05,electronics,2.9,Indigo,metal,2023-06-26,13501.789999999999,2023
Pasta - Angel Hair,597,2.09,Roodel,2022-12-08,electronics,7.3,Maroon,metal,2022-10-22,1247.73,2022
Lobster - Base,946,57.42,Voonyx,2022-12-08,electronics,4.969776119402986,Red,plastic,2022-03-31,54319.32,2022
Compound - Rum,242,58.41,Zoombox,2022-12-08,food,0.2,Fuscia,metal,2022-04-26,14135.22,2022
Honey - Lavender,700,98.82,Skipstorm,2022-12-08,electronics,2.9,Violet,wood,2022-11-30,69174.0,2022
Bacardi Limon,613,15.81,Blogtag,2022-12-08,food,0.4,Purple,metal,2023-01-02,9691.53,2023
Wine - Jackson Triggs Okonagan,730,95.58,Meezzy,2023-10-15,clothing,2.2,Purple,plastic,2023-03-26,69773.4,2023
Kiwi,780,68.75,Digitube,2022-12-08,clothing,2.8,Fuscia,plastic,2022-10-23,53625.0,2022
Instant Coffee,26,75.86,Dynabox,2022-12-08,food,5.088278388278388,Purple,metal,2022-10-19,1972.36,2022
Cornish Hen,295,87.19,Lazzy,2022-12-08,food,5.088278388278388,Pink,plastic,2022-09-25,25721.05,2022
Blue Curacao - Marie Brizard,544,56.24,Avamm,2022-12-08,food,5.088278388278388,Turquoise,metal,2023-04-07,30594.56,2023
Tart - Pecan Butter Squares,904,7.76,Aimbo,2022-12-08,electronics,4.969776119402986,Pink,plastic,2023-06-08,7015.04,2023
Radish,68,46.17,Lazzy,2022-12-08,electronics,4.969776119402986,Aquamarine,plastic,2023-12-26,3139.56,2023
Papayas,31,17.32,Brightbean,2023-04-22,food,7.9,Khaki,metal,2023-06-14,536.92,2023
Tomatoes - Yellow Hot House,85,29.86,Oozz,2022-12-08,food,2.0,Purple,wood,2023-03-11,2538.1,2023
Tea - Earl Grey,208,36.53,Eidel,2023-08-03,food,8.5,Teal,plastic,2022-06-02,7598.24,2022
Island Oasis - Ice Cream Mix,230,76.6,Meeveo,2022-12-08,electronics,9.4,Fuscia,plastic,2022-07-23,17618.0,2022
Pear - Prickly,911,22.63,Ntags,2022-12-08,electronics,3.4,Maroon,metal,2023-05-30,20615.93,2023
Wine - Carmenere Casillero Del,653,52.92,Aibox,2022-12-08,food,3.4,Khaki,wood,2023-05-06,34556.76,2023
"Beer - Alexander Kieths, Pale Ale",28,91.38,Realbuzz,2022-12-08,clothing,4.8,Maroon,plastic,2023-02-25,2558.64,2023
Hinge W Undercut,157,15.8,Kamba,2022-12-02,clothing,0.4,Aquamarine,plastic,2023-01-02,2480.6,2023
Salt - Table,394,55.74,Skinte,2022-12-08,electronics,3.2,Aquamarine,wood,2023-11-03,21961.56,2023
Turkey - Ground. Lean,549,58.45,Aimbu,2022-12-08,clothing,1.1,Red,plastic,2023-08-11,32089.050000000003,2023
Chinese Lemon Pork,880,87.06,Kanoodle,2022-12-08,food,7.9,Khaki,plastic,2022-02-20,76612.8,2022
Pasta - Ravioli,585,66.76,Voolia,2022-12-08,food,2.7,Teal,plastic,2023-11-12,39054.600000000006,2023
Pork - Smoked Kassler,73,86.76,Ntags,2022-07-12,food,9.1,Maroon,plastic,2023-12-29,6333.4800000000005,2023
Wine - Peller Estates Late,184,52.4,Gigazoom,2022-12-08,clothing,4.0,Red,wood,2022-04-22,9641.6,2022
Whmis Spray Bottle Graduated,533,45.64,Ailane,2022-12-08,clothing,2.4,Indigo,metal,2022-09-21,24326.12,2022
"Juice - Grape, White",940,0.21,Tambee,2022-12-08,food,3.3,Orange,metal,2023-09-01,197.4,2023
Wine - Rubyport,999,4.54,Browsetype,2022-12-08,electronics,5.8,Indigo,plastic,2022-10-16,4535.46,2022
Cape Capensis - Fillet,116,76.08,Muxo,2022-12-08,food,4.3,Crimson,wood,2022-09-27,8825.28,2022
Cheese - Gouda,512,63.7,Yombu,2022-12-08,clothing,4.99875,Violet,metal,2022-03-15,32614.4,2022
Water - Spring Water 500ml,3,41.88,Jabbercube,2022-12-08,electronics,8.5,Pink,metal,2023-09-18,125.64000000000001,2023
Dill Weed - Fresh,367,68.95,Digitube,2022-12-08,clothing,2.5,Red,metal,2022-01-19,25304.65,2022
"Cheese - Boursin, Garlic / Herbs",697,36.78,Eare,2023-04-19,food,5.088278388278388,Violet,metal,2023-01-19,25635.66,2023
Beer - Creemore,766,13.89,Bubblebox,2022-12-08,food,0.9,Fuscia,plastic,2023-02-13,10639.74,2023
Wine - Periguita Fonseca,343,38.72,Livefish,2022-12-08,food,6.0,Fuscia,metal,2023-06-16,13280.96,2023
Lamb - Sausage Casings,454,66.18,Ainyx,2022-12-08,food,9.2,Purple,metal,2022-02-16,30045.720000000005,2022
Bread - Malt,39,22.0,Feedbug,2022-12-08,electronics,4.969776119402986,Indigo,plastic,2023-05-09,858.0,2023
Cake - Dulce De Leche,910,62.07,Gabtune,2022-12-08,clothing,3.5,Aquamarine,plastic,2022-01-01,56483.7,2022
Appetizer - Lobster Phyllo Roll,72,60.3,Midel,2022-12-08,clothing,4.9,Blue,metal,2023-02-02,4341.599999999999,2023
Bread - Italian Corn Meal Poly,488,4.23,Jaloo,2022-12-08,food,0.6,Teal,plastic,2022-02-07,2064.2400000000002,2022
The Pop Shoppe - Grape,442,75.3,Shuffledrive,2022-12-08,food,2.8,Green,plastic,2022-11-25,33282.6,2022
Rum - Mount Gay Eclipes,529,80.46,Oyoyo,2023-12-05,food,2.5,Crimson,wood,2022-12-13,42563.34,2022
Crab - Imitation Flakes,509,78.53,Yakitri,2023-10-08,food,5.088278388278388,Goldenrod,wood,2022-04-15,39971.770000000004,2022
Pastry - Lemon Danish - Mini,670,45.16,Twimm,2022-12-08,food,5.088278388278388,Blue,wood,2022-10-31,30257.199999999997,2022
Bread - Petit Baguette,780,93.22,Brainsphere,2022-12-08,food,1.4,Violet,plastic,2023-12-04,72711.6,2023
Cheese - Comtomme,663,38.55,Twitternation,2022-12-08,electronics,4.969776119402986,Blue,metal,2022-11-13,25558.649999999998,2022
"Noodles - Cellophane, Thin",125,66.94,Zoomzone,2022-12-08,electronics,1.0,Aquamarine,wood,2023-02-09,8367.5,2023
French Pastries,299,40.68,Katz,2022-03-22,electronics,4.8,Blue,metal,2023-04-20,12163.32,2023
Lettuce - Escarole,906,88.66,Browsebug,2022-12-08,electronics,3.5,Green,wood,2022-01-28,80325.95999999999,2022
Banana - Leaves,280,96.36,Twitterwire,2022-12-08,electronics,0.4,Khaki,wood,2023-09-29,26980.8,2023
Spring Roll Wrappers,340,96.14,Trilith,2022-12-08,clothing,8.5,Violet,metal,2022-10-02,32687.6,2022
Oil - Cooking Spray,808,11.82,Photojam,2022-03-23,electronics,4.969776119402986,Crimson,plastic,2023-11-14,9550.56,2023
Strawberries,542,24.48,Tazzy,2022-12-08,clothing,8.1,Purple,plastic,2023-07-02,13268.16,2023
Lamb Shoulder Boneless Nz,114,3.27,Flashdog,2023-08-16,clothing,4.99875,Mauv,plastic,2022-07-07,372.78000000000003,2022
Graham Cracker Mix,191,87.08,Dabjam,2023-09-10,food,4.7,Green,plastic,2022-04-10,16632.28,2022
Carbonated Water - Wildberry,280,82.0,Topicstorm,2022-12-08,food,5.0,Pink,wood,2023-03-27,22960.0,2023
Paper - Brown Paper Mini Cups,72,36.34,Plajo,2022-03-28,clothing,8.9,Green,plastic,2023-05-04,2616.4800000000005,2023
Squeeze Bottle,658,68.84,Zoomcast,2022-12-08,electronics,4.969776119402986,Pink,metal,2023-09-21,45296.72,2023
Cleaner - Lime Away,863,85.01,Skimia,2022-12-08,clothing,4.8,Pink,wood,2023-03-22,73363.63,2023
Bread - Bistro Sour,944,85.69,Tekfly,2022-12-08,electronics,4.969776119402986,Red,metal,2023-03-16,80891.36,2023
"Potatoes - Instant, Mashed",682,29.09,Dabvine,2022-12-08,clothing,2.4,Fuscia,wood,2022-09-04,19839.38,2022
Shopper Bag - S - 4,270,54.94,Skalith,2022-12-08,clothing,6.7,Goldenrod,wood,2022-10-12,14833.8,2022
Lobster - Live,36,56.17,Zoomzone,2022-12-08,electronics,7.6,Crimson,metal,2022-10-01,2022.1200000000001,2022
Anchovy Paste - 56 G Tube,272,4.74,Quatz,2022-12-08,clothing,0.2,Fuscia,metal,2022-05-31,1289.28,2022
Pie Filling - Cherry,833,18.59,Wikizz,2022-12-08,electronics,7.8,Teal,wood,2022-09-09,15485.47,2022
Eggplant Oriental,816,65.18,Omba,2022-12-08,food,5.088278388278388,Teal,plastic,2022-06-28,53186.880000000005,2022
Beer - Rickards Red,212,12.02,Browseblab,2023-03-23,electronics,1.2,Turquoise,plastic,2023-03-14,2548.24,2023
Napkin White,80,1.91,Tagfeed,2022-12-08,food,3.9,Violet,wood,2022-07-22,152.79999999999998,2022
V8 Pet,421,17.62,Livetube,2022-12-08,food,5.088278388278388,Blue,metal,2023-05-08,7418.02,2023
Octopus,593,13.62,Blogtag,2022-11-25,electronics,9.1,Turquoise,wood,2022-01-27,8076.66,2022
Campari,932,90.03,Thoughtmix,2023-07-02,clothing,4.99875,Green,wood,2023-04-16,83907.96,2023
Pop - Club Soda Can,954,50.92,Flashspan,2023-11-02,electronics,4.969776119402986,Orange,metal,2023-06-17,48577.68,2023
Juice Peach Nectar,748,31.76,Jabbercube,2023-01-21,clothing,4.99875,Yellow,plastic,2023-02-14,23756.48,2023
Plums - Red,315,75.58,Midel,2022-12-08,electronics,4.0,Yellow,plastic,2022-09-11,23807.7,2022
Capers - Ox Eye Daisy,4,10.73,Rhynyx,2022-12-08,clothing,6.4,Aquamarine,plastic,2022-12-12,42.92,2022
Miso Paste White,371,28.61,Mynte,2022-12-08,food,5.8,Orange,wood,2022-09-13,10614.31,2022
Ecolab - Power Fusion,28,23.87,Yombu,2022-12-08,food,8.7,Mauv,metal,2023-03-18,668.36,2023
Fond - Chocolate,629,48.99,Edgeclub,2022-12-08,electronics,6.6,Crimson,metal,2022-06-29,30814.710000000003,2022
Chips - Doritos,856,59.54,Geba,2022-12-08,food,3.4,Puce,plastic,2022-03-20,50966.24,2022
Wine - Hardys Bankside Shiraz,16,83.75,Mydo,2022-11-05,food,3.1,Mauv,wood,2023-06-21,1340.0,2023
Tomatoes - Cherry,731,14.27,Photolist,2022-12-08,electronics,4.969776119402986,Teal,plastic,2022-03-30,10431.369999999999,2022
Cinnamon Rolls,716,98.98,Edgewire,2022-12-08,electronics,4.969776119402986,Purple,plastic,2023-09-20,70869.68000000001,2023
Cornstarch,371,25.2,Devshare,2022-12-08,clothing,2.0,Violet,metal,2022-01-07,9349.199999999999,2022
Couscous,309,39.31,Eayo,2022-12-08,food,5.8,Yellow,metal,2023-04-30,12146.79,2023
Soup Campbells Turkey Veg.,248,18.1,Devpoint,2022-12-08,food,1.6,Purple,wood,2022-04-13,4488.8,2022
Milk - 2% 250 Ml,556,19.86,Skinix,2022-12-08,clothing,3.4,Pink,plastic,2022-06-02,11042.16,2022
"Quail - Whole, Boneless",998,32.87,Fadeo,2022-12-08,electronics,4.969776119402986,Mauv,wood,2023-05-31,32804.259999999995,2023
Bag Clear 10 Lb,16,39.14,Twimm,2022-12-08,electronics,2.4,Green,plastic,2023-10-25,626.24,2023
Wine - Fontanafredda Barolo,137,72.94,Brightbean,2023-06-18,electronics,0.6,Mauv,plastic,2023-04-21,9992.779999999999,2023
Cherries - Fresh,317,28.77,Kimia,2022-12-08,food,1.1,Crimson,wood,2022-01-19,9120.09,2022
The Pop Shoppe - Cream Soda,495,16.13,Nlounge,2022-12-08,electronics,2.3,Turquoise,wood,2022-09-06,7984.349999999999,2022
Salmon Atl.whole 8 - 10 Lb,279,67.56,Dazzlesphere,2022-08-26,food,5.088278388278388,Indigo,wood,2022-05-04,18849.24,2022
Mint - Fresh,440,57.47,Fatz,2022-12-08,food,4.3,Turquoise,wood,2022-07-17,25286.8,2022
"Chilli Paste, Sambal Oelek",385,37.07,Latz,2022-12-08,food,5.088278388278388,Aquamarine,metal,2022-02-15,14271.95,2022
Salad Dressing,204,28.27,Skaboo,2022-12-08,clothing,4.99875,Purple,wood,2023-10-21,5767.08,2023
"Pineapple - Canned, Rings",14,99.91,Wikido,2022-12-08,electronics,0.4,Aquamarine,wood,2023-07-29,1398.74,2023
Sauce - Fish 25 Ozf Bottle,919,68.48,Latz,2022-12-08,electronics,6.0,Indigo,wood,2022-03-21,62933.12,2022
Sauce Tomato Pouch,341,22.46,Dynazzy,2022-07-28,electronics,1.3,Goldenrod,plastic,2022-08-24,7658.860000000001,2022
"Water - Spring Water, 355 Ml",402,75.62,Buzzdog,2022-12-08,electronics,3.6,Goldenrod,wood,2022-12-09,30399.24,2022
Carbonated Water - Lemon Lime,933,8.52,Twinte,2023-06-23,food,5.088278388278388,Aquamarine,metal,2022-03-10,7949.16,2022
Extract - Raspberry,661,87.59,Babbleset,2022-12-08,clothing,8.6,Indigo,wood,2023-07-31,57896.990000000005,2023
Oil - Canola,743,24.78,DabZ,2022-12-08,food,9.4,Puce,plastic,2022-01-15,18411.54,2022
Cake Sheet Combo Party Pack,254,27.18,Feedmix,2022-12-08,food,5.088278388278388,Violet,plastic,2023-09-03,6903.72,2023
Island Oasis - Pina Colada,967,86.79,Eayo,2022-10-11,electronics,6.9,Indigo,plastic,2023-06-30,83925.93000000001,2023
Steampan - Half Size Shallow,328,9.53,Voolia,2022-05-26,food,0.6,Purple,wood,2023-10-31,3125.8399999999997,2023
Cheese - Feta,749,20.46,Flipbug,2022-12-08,electronics,4.969776119402986,Yellow,plastic,2022-05-02,15324.54,2022
Milk Powder,23,70.43,Ailane,2022-12-08,clothing,8.9,Indigo,metal,2023-04-17,1619.89,2023
Turnip - Wax,260,5.46,Katz,2023-03-11,clothing,2.6,Goldenrod,plastic,2023-04-28,1419.6,2023
Fireball Whisky,767,20.27,Skajo,2022-12-08,food,5.2,Aquamarine,wood,2023-04-18,15547.09,2023
Arizona - Green Tea,991,11.67,Latz,2022-12-08,food,4.0,Mauv,metal,2023-09-22,11564.97,2023
Mayonnaise,807,41.16,Roombo,2022-12-08,clothing,6.4,Aquamarine,metal,2023-04-02,33216.119999999995,2023
Wine - Cava Aria Estate Brut,3,52.55,Linkbuzz,2022-12-08,electronics,8.2,Red,wood,2022-09-09,157.64999999999998,2022
Pizza Pizza Dough,827,81.9,Innojam,2023-05-27,clothing,4.1,Green,wood,2023-10-30,67731.3,2023
Pastry - Baked Scones - Mini,112,24.06,Flipbug,2022-12-08,clothing,0.3,Fuscia,metal,2022-05-27,2694.72,2022
Tray - 12in Rnd Blk,62,7.97,Dabfeed,2023-05-14,electronics,4.969776119402986,Orange,metal,2022-09-03,494.14,2022
Sproutsmustard Cress,166,25.19,Twinte,2022-01-15,clothing,4.99875,Khaki,wood,2023-06-05,4181.54,2023
Lamb - Whole Head Off,150,64.95,Eazzy,2022-12-08,electronics,2.7,Violet,plastic,2022-01-22,9742.5,2022
Sauce - Oyster,480,76.02,Avamba,2022-12-08,food,5.088278388278388,Fuscia,metal,2022-11-05,36489.6,2022
Yokaline,578,26.67,Rhycero,2022-12-08,electronics,3.5,Violet,metal,2022-10-03,15415.26,2022
Soup - French Can Pea,455,62.31,Skipstorm,2023-08-12,electronics,6.5,Khaki,plastic,2023-03-29,28351.05,2023
Lettuce - Frisee,847,35.87,Shuffletag,2022-12-08,food,8.9,Green,metal,2022-10-18,30381.89,2022
Lettuce - Green Leaf,369,34.82,Shuffletag,2022-12-08,food,3.7,Blue,plastic,2022-06-05,12848.58,2022
"Tea - Darjeeling, Azzura",745,77.9,Browsecat,2023-01-14,food,5.088278388278388,Mauv,plastic,2022-11-08,58035.50000000001,2022
"Capon - Breast, Wing On",407,79.66,Trupe,2022-12-08,food,3.5,Khaki,plastic,2022-04-23,32421.62,2022
Pasta - Agnolotti - Butternut,358,45.01,Geba,2023-09-12,clothing,6.8,Fuscia,wood,2022-06-06,16113.58,2022
Beans - French,168,44.09,Zoomzone,2022-12-08,electronics,6.2,Indigo,metal,2022-01-25,7407.120000000001,2022
Compound - Strawberry,373,32.61,Trupe,2022-12-08,electronics,7.1,Maroon,metal,2022-02-27,12163.53,2022
Mix Pina Colada,275,45.66,Tagchat,2022-12-08,electronics,2.2,Blue,wood,2023-10-28,12556.499999999998,2023
Bread - Sour Sticks With Onion,400,9.65,Zava,2022-12-08,clothing,5.0,Goldenrod,plastic,2023-01-10,3860.0,2023
"Soup - Campbells, Lentil",5,57.56,Innotype,2022-11-17,electronics,4.969776119402986,Yellow,metal,2023-01-24,287.8,2023
Carbonated Water - White Grape,84,88.0,Ainyx,2022-11-11,food,2.3,Purple,plastic,2023-03-31,7392.0,2023
